InventoryID,ProductID,Warehouse,QuantityAvailable,ReorderLevel,LastRestocked,StorageCost
INV0032,PRD0037,Hyderabad WH,92,72,2026-03-31,100.82
INV0033,PRD0018,Mumbai WH,319,49,2026-08-04,120.19
INV0034,PRD0035,Bangalore WH,928,39,2026-01-20,19.48
INV0035,PRD0096,Bangalore WH,524,98,2025-10-17,36.36
INV0036,PRD0061,Mumbai WH,569,56,2025-09-16,219.07
INV0037,PRD0006,Bangalore WH,641,48,2025-11-04,184.43
INV0038,PRD0056,Mumbai WH,788,12,2025-10-27,130.53
INV0039,PRD0026,Mumbai WH,32,37,2026-02-06,68.2
INV0040,PRD0044,Chennai WH,683,39,2026-07-22,255.81
INV0041,PRD0058,Mumbai WH,754,55,2026-03-24,160.89
INV0042,PRD0049,Mumbai WH,286,99,2026-07-29,180.31
INV0043,PRD0024,Delhi WH,491,28,2025-10-15,101.91
INV0044,PRD0084,Mumbai WH,294,96,2026-08-09,226.26
INV0045,PRD0090,Chennai WH,900,17,2025-10-22,77.59
INV0046,PRD0039,Delhi WH,573,58,2025-08-27,247.23
INV0047,PRD0022,Bangalore WH,28,90,2026-05-19,175.48
INV0048,PRD0035,Mumbai WH,813,88,2025-12-23,231.18
INV0049,PRD0030,Chennai WH,893,13,2025-09-20,268.61
INV0050,PRD0049,Mumbai WH,511,93,2026-03-13,211.97
INV0051,PRD0066,Mumbai WH,992,31,2026-02-04,198.24
INV0052,PRD0056,Bangalore WH,679,47,2026-06-09,232.14
INV0053,PRD0067,Bangalore WH,49,27,2025-09-15,215.37
INV0054,PRD0097,Chennai WH,169,68,2025-10-08,37.74
INV0055,PRD0061,Chennai WH,76,91,2025-12-01,101.69
INV0056,PRD0023,Hyderabad WH,596,47,2026-05-02,197.56
INV0057,PRD0092,Delhi WH,423,60,2026-02-10,285.54
INV0058,PRD0071,Chennai WH,285,54,2026-06-07,6.63
INV0059,PRD0053,Delhi WH,474,90,2025-11-30,272.72
INV0060,PRD0090,Delhi WH,866,54,2026-02-17,44.85
INV0061,PRD0045,Delhi WH,209,90,2026-07-21,52.5
INV0062,PRD0012,Delhi WH,813,30,2026-01-21,6.07
INV0063,PRD0044,Chennai WH,170,54,2026-01-26,209.53
INV0064,PRD0065,Chennai WH,43,13,2025-11-09,56.18
INV0065,PRD0074,Hyderabad WH,237,26,2026-02-27,254.85
INV0066,PRD0080,Mumbai WH,621,35,2026-04-05,33.76
INV0067,PRD0094,Delhi WH,422,42,2026-07-19,101.27
INV0068,PRD0094,Bangalore WH,393,47,2026-04-07,225.09
INV0069,PRD0094,Chennai WH,249,48,2026-01-17,99.75
INV0070,PRD0039,Bangalore WH,788,34,2026-03-13,298.81
INV0071,PRD0011,Hyderabad WH,987,69,2025-12-15,140.97
INV0072,PRD0089,Mumbai WH,191,88,2026-05-23,134.29
INV0073,PRD0007,Bangalore WH,933,72,2026-01-26,30.0
INV0074,PRD0092,Hyderabad WH,498,31,2026-07-30,246.06
INV0075,PRD0016,Hyderabad WH,823,11,2025-10-09,218.16
INV0076,PRD0004,Delhi WH,533,28,2025-09-30,217.92
INV0077,PRD0001,Chennai WH,892,66,2026-02-10,31.55
INV0078,PRD0053,Delhi WH,620,60,2026-01-16,237.44
INV0079,PRD0063,Delhi WH,190,82,2026-08-14,92.99
INV0080,PRD0098,Mumbai WH,309,18,2026-07-03,278.52
INV0081,PRD0019,Mumbai WH,940,62,2025-10-28,197.86
INV0082,PRD0072,Delhi WH,787,55,2025-08-29,120.76
INV0083,PRD0096,Chennai WH,377,78,2025-09-14,155.64
INV0084,PRD0011,Mumbai WH,909,40,2025-12-26,140.73
INV0085,PRD0061,Delhi WH,527,40,2026-07-01,199.11
INV0086,PRD0061,Delhi WH,789,34,2026-03-26,207.33
INV0087,PRD0041,Delhi WH,630,85,2025-08-29,224.91
INV0088,PRD0069,Bangalore WH,770,39,2026-02-10,191.67
INV0089,PRD0034,Mumbai WH,687,32,2026-01-28,293.17
INV0090,PRD0068,Mumbai WH,96,33,2025-10-13,83.28
INV0091,PRD0097,Bangalore WH,433,86,2026-04-28,162.83
INV0092,PRD0032,Hyderabad WH,263,21,2026-03-06,260.32
INV0093,PRD0083,Chennai WH,868,47,2025-09-18,171.13
INV0094,PRD0009,Mumbai WH,550,31,2026-02-14,210.49
INV0095,PRD0066,Hyderabad WH,518,91,2025-10-13,74.92
INV0096,PRD0056,Bangalore WH,700,96,2026-01-31,122.03
INV0097,PRD0080,Mumbai WH,441,34,2026-05-21,9.5
INV0098,PRD0038,Bangalore WH,427,35,2026-01-14,268.08
INV0099,PRD0085,Delhi WH,953,90,2026-06-09,201.15
INV0100,PRD0051,Bangalore WH,289,85,2025-10-13,221.1
