SupplierID,SupplierName,Category,City,Country,ContractStart,Rating
SUP0030,Morgan-Anderson,Electronics,Smithland,Germany,2025-04-29,2.0
SUP0031,Reyes-Smith,IT Services,Matthewstad,Canada,2022-08-26,3.9
SUP0032,"Roberts, Bryant and Hill",Electronics,Howardbury,UAE,2024-06-11,2.9
SUP0033,Adams Ltd,Logistics,Garrettfort,Singapore,2025-02-26,3.5
SUP0034,Elliott-Hurley,Packaging,New Michaelberg,UK,2021-05-04,3.7
SUP0035,Case-Moreno,Office Supplies,Gainesfort,Canada,2021-05-01,1.4
SUP0036,Smith-Robinson,Electronics,Lake Tamara,India,2022-04-09,2.4
SUP0037,"Saunders, Wagner and Duncan",IT Services,Kathleenfort,Australia,2021-01-25,1.1
SUP0038,Martinez Ltd,Office Supplies,Lake Lisaborough,India,2020-12-25,2.6
SUP0039,Ryan-Bishop,Logistics,West Elizabethfort,Singapore,2024-04-19,2.0
SUP0040,"Lamb, Flores and Jordan",Raw Material,North Lonniestad,UK,2021-08-24,1.4
SUP0041,Small PLC,Packaging,Lake Lauren,Germany,2023-04-05,2.8
SUP0042,"Hayes, Williams and Parker",Raw Material,Ericborough,Australia,2023-05-15,1.7
SUP0043,Stanley Ltd,Office Supplies,Kathrynview,UAE,2021-02-20,3.1
SUP0044,Johnson Inc,Raw Material,East Courtney,Canada,2023-07-19,1.8
SUP0045,Frank and Sons,Logistics,Port Jennifer,Germany,2025-02-09,1.9
SUP0046,"Bradley, Harrison and Anderson",Office Supplies,East Kevin,Singapore,2022-05-09,4.5
SUP0047,Villanueva-Hess,Raw Material,Jonathanhaven,USA,2023-10-04,1.3
SUP0048,Bailey and Sons,IT Services,Rangelhaven,Germany,2024-08-02,1.6
SUP0049,Terrell LLC,Logistics,South Joannton,Singapore,2022-07-27,2.9
SUP0050,"Martinez, Hayes and Simmons",IT Services,Duaneville,Australia,2023-02-05,1.6
SUP0051,"Simpson, Mcdowell and Mercado",Electronics,Christopherborough,Australia,2025-03-12,2.2
SUP0052,"Hunter, Santiago and Fowler",IT Services,Penningtonburgh,India,2025-04-19,4.6
SUP0053,Pena-Nichols,Raw Material,Sandratown,USA,2022-03-28,1.7
SUP0054,Barr-Weaver,Raw Material,Catherineberg,Germany,2022-06-28,2.4
SUP0055,"Trevino, Huff and Miller",Packaging,Whitefurt,India,2025-02-18,1.6
SUP0056,Norman-Parks,Office Supplies,Wellschester,Singapore,2022-07-14,2.1
SUP0057,"Vaughn, Cruz and Conley",IT Services,Carlaberg,UAE,2020-11-28,1.6
SUP0058,Woodard Ltd,Raw Material,Tranberg,Germany,2023-08-25,4.7
SUP0059,Ortiz LLC,Office Supplies,Port Brittany,Canada,2024-10-09,2.6
SUP0060,"Banks, Duncan and Brown",IT Services,Lake Andrew,Germany,2024-01-12,3.9
SUP0061,Vasquez Inc,Office Supplies,West Catherineton,UAE,2020-10-28,1.3
SUP0062,"Payne, Richard and Murray",Electronics,South Stephanieburgh,Germany,2021-01-26,3.0
SUP0063,Carter-Young,IT Services,North Hannahside,Australia,2025-01-24,3.4
SUP0064,Moore-Day,IT Services,Jessicachester,UK,2024-07-25,1.1
SUP0065,Peters-Kelly,Packaging,Armstrongburgh,Singapore,2023-06-22,2.9
SUP0066,Horton PLC,Logistics,Gabrielleborough,India,2022-01-05,4.6
SUP0067,Cook LLC,IT Services,Melissatown,India,2021-10-30,1.9
SUP0068,"Reilly, Estrada and Harris",IT Services,South Emily,USA,2024-10-15,4.9
SUP0069,Mcmahon-Walton,Logistics,Port Timothytown,Germany,2023-04-14,4.8
SUP0070,Harris PLC,IT Services,Veronicafurt,Australia,2020-12-19,1.0
SUP0071,"Frederick, Davis and Poole",Packaging,Jacobsfurt,UK,2023-05-13,3.5
SUP0072,Todd-Kennedy,Office Supplies,Pricehaven,India,2023-05-12,4.0
SUP0073,"Mooney, Nunez and Mckenzie",IT Services,Port Robert,UK,2020-10-16,1.7
SUP0074,Drake-Scott,Office Supplies,Josephmouth,UAE,2022-02-25,1.8
SUP0075,"Williams, Burch and Kelly",Office Supplies,West Michelle,Canada,2023-07-29,4.1
SUP0076,"Carter, Ruiz and Clark",IT Services,Port Tiffany,Australia,2022-07-08,4.6
SUP0077,"Watkins, Santiago and Jackson",Electronics,Knighttown,UAE,2021-10-07,3.4
SUP0078,"Harper, Walker and Baldwin",Packaging,Lake Daniel,Australia,2021-05-28,3.3
SUP0079,Howard Group,Raw Material,North Justin,UAE,2022-04-21,4.8
SUP0080,York LLC,Raw Material,East Donnaside,Germany,2020-09-08,4.0
SUP0081,Ingram-Crawford,Electronics,North Courtney,Australia,2022-12-31,4.6
SUP0082,Navarro-James,Office Supplies,North Angelamouth,Canada,2025-01-18,1.5
SUP0083,"Garner, Wright and Cruz",Electronics,Donaldsonside,UAE,2022-12-09,3.5
SUP0084,Walker-White,Logistics,Duranmouth,Singapore,2021-11-18,4.0
SUP0085,"Miller, Delacruz and Reed",IT Services,Johnstad,Germany,2021-06-24,2.0
SUP0086,Wallace Ltd,Logistics,Wardtown,UAE,2022-08-21,1.9
SUP0087,Berry-Casey,Logistics,Savageshire,Canada,2023-10-13,1.2
SUP0088,"Ray, Washington and Garcia",Logistics,North Michaelstad,Germany,2024-06-24,1.1
SUP0089,Powell-Mclaughlin,Packaging,Michaelshire,Singapore,2021-01-12,4.2
SUP0090,"Craig, Brown and Chapman",IT Services,North Barry,UK,2022-02-09,3.9
SUP0091,Bailey-Casey,Electronics,Timothybury,UAE,2022-09-09,1.6
SUP0092,Wright-Johnson,Raw Material,South Joshuamouth,India,2025-05-02,4.1
SUP0093,Thomas LLC,Office Supplies,Morenoton,Canada,2023-04-18,3.3
SUP0094,Stevens-Moore,Logistics,Samuelborough,Germany,2024-10-13,2.9
SUP0095,Moore and Sons,IT Services,Lake Jamesfurt,Singapore,2025-04-26,3.7
SUP0096,Olson LLC,Raw Material,East Shelleyside,Australia,2021-08-20,4.7
SUP0097,"Orozco, Martinez and Moran",Electronics,New Jessicaside,Singapore,2024-08-26,2.3
SUP0098,Flores-Chavez,Packaging,East Bonnie,UAE,2022-05-25,3.3
SUP0099,"Sanders, Hamilton and Coleman",Logistics,Scottview,USA,2021-03-04,4.5
SUP0100,Watson-Skinner,Raw Material,Davidtown,Australia,2024-08-27,3.6
